scenario,distribution,implementation,n,trial,seed,operations,elapsed_ns,ns_per_op,height,estimated_bytes,checksum
lookup,nearly_sorted,ordinary_bst,500,2,524330030,500,129708,259.416000,477,32024,6969932122670816341
lookup,nearly_sorted,red_black_tree,500,3,524330286,500,19708,39.416000,15,36104,12389607376005049834
lookup,nearly_sorted,ordinary_bst,500,3,524330286,500,129500,259.000000,478,32024,12389607376005049834
lookup,nearly_sorted,sorted_vector,500,3,524330286,500,18500,37.000000,,32012,12389607376005049834
lookup,nearly_sorted,red_black_tree,500,4,524330542,500,20458,40.916000,15,36104,2204087603553582319
lookup,nearly_sorted,sorted_vector,500,4,524330542,500,18333,36.666000,,32012,2204087603553582319
lookup,nearly_sorted,ordinary_bst,500,4,524330542,500,128959,257.918000,475,32024,2204087603553582319
lookup,nearly_sorted,ordinary_bst,500,5,524330798,500,128292,256.584000,476,32024,5151173422597731750
lookup,nearly_sorted,red_black_tree,500,5,524330798,500,19625,39.250000,15,36104,5151173422597731750
lookup,nearly_sorted,sorted_vector,500,5,524330798,500,18459,36.918000,,32012,5151173422597731750
lookup,nearly_sorted,ordinary_bst,500,6,524331054,500,129541,259.082000,477,32024,3070360013314978148
lookup,nearly_sorted,red_black_tree,500,6,524331054,500,20416,40.832000,15,36104,3070360013314978148
lookup,nearly_sorted,sorted_vector,500,6,524331054,500,18208,36.416000,,32012,3070360013314978148
read_heavy,random,red_black_tree,500,0,524329841,1000,32792,32.792000,12,36104,17136215038169422858
read_heavy,random,sorted_vector,500,0,524329841,1000,67750,67.750000,,52492,17136215038169422858
read_heavy,random,ordinary_bst,500,0,524329841,1000,38625,38.625000,99,32024,17136215038169422858
read_heavy,random,sorted_vector,500,1,524329585,1000,63917,63.917000,,32012,5185265685257993290
