scenario,distribution,implementation,n,trial,seed,operations,elapsed_ns,ns_per_op,height,estimated_bytes,checksum
build,random,ordinary_bst,500,5,524330832,500,29417,58.834000,17,32024,4501905892932342131
build,random,ordinary_bst,500,6,524331088,500,30791,61.582000,17,32024,4501905892932342131
build,random,sorted_vector,500,6,524331088,500,94625,189.250000,,32012,4501905892932342131
build,random,red_black_tree,500,6,524331088,500,37459,74.918000,11,36104,4501905892932342131
lookup,random,ordinary_bst,500,0,524329517,500,23750,47.500000,18,32024,9418729990582231197
lookup,random,sorted_vector,500,0,524329517,500,19875,39.750000,,32012,9418729990582231197
lookup,random,red_black_tree,500,0,524329517,500,23291,46.582000,11,36104,9418729990582231197
lookup,random,ordinary_bst,500,1,524329773,500,23917,47.834000,19,32024,7182127850262084643
lookup,random,sorted_vector,500,1,524329773,500,20084,40.168000,,32012,7182127850262084643
lookup,random,red_black_tree,500,1,524329773,500,23250,46.500000,11,36104,7182127850262084643
lookup,random,sorted_vector,500,2,524330029,500,19459,38.918000,,32012,14654084440799821613
lookup,random,red_black_tree,500,2,524330029,500,23125,46.250000,11,36104,14654084440799821613
lookup,random,ordinary_bst,500,2,524330029,500,23458,46.916000,18,32024,14654084440799821613
lookup,random,sorted_vector,500,3,524330285,500,19791,39.582000,,32012,1683656388186798289
lookup,random,ordinary_bst,500,3,524330285,500,24166,48.332000,20,32024,1683656388186798289
lookup,random,red_black_tree,500,3,524330285,500,23208,46.416000,11,36104,1683656388186798289
lookup,random,red_black_tree,500,4,524330541,500,23208,46.416000,11,36104,6341211776803433985
lookup,random,sorted_vector,500,4,524330541,500,19584,39.168000,,32012,6341211776803433985
lookup,random,ordinary_bst,500,4,524330541,500,23500,47.000000,17,32024,6341211776803433985
lookup,random,ordinary_bst,500,5,524330797,500,25833,51.666000,22,32024,12557154521699455902
lookup,random,red_black_tree,500,5,524330797,500,23333,46.666000,11,36104,12557154521699455902
lookup,random,sorted_vector,500,5,524330797,500,20334,40.668000,,32012,12557154521699455902
lookup,random,ordinary_bst,500,6,524331053,500,24542,49.084000,22,32024,16905919676279671597
lookup,random,red_black_tree,500,6,524331053,500,30000,60.000000,11,36104,16905919676279671597
lookup,random,sorted_vector,500,6,524331053,500,19916,39.832000,,32012,16905919676279671597
build,nearly_sorted,sorted_vector,500,0,524329553,500,11791,23.582000,,32012,4501905892932342131
build,nearly_sorted,ordinary_bst,500,0,524329553,500,144458,288.916000,475,32024,4501905892932342131
build,nearly_sorted,red_black_tree,500,0,524329553,500,16250,32.500000,15,36104,4501905892932342131
build,nearly_sorted,ordinary_bst,500,1,524329809,500,145875,291.750000,475,32024,4501905892932342131
build,nearly_sorted,red_black_tree,500,1,524329809,500,15417,30.834000,15,36104,4501905892932342131
build,nearly_sorted,sorted_vector,500,1,524329809,500,11875,23.750000,,32012,4501905892932342131
build,nearly_sorted,ordinary_bst,500,2,524330065,500,146792,293.584000,478,32024,4501905892932342131
build,nearly_sorted,red_black_tree,500,2,524330065,500,15375,30.750000,15,36104,4501905892932342131
build,nearly_sorted,sorted_vector,500,2,524330065,500,11584,23.168000,,32012,4501905892932342131
build,nearly_sorted,red_black_tree,500,3,524330321,500,14958,29.916000,15,36104,4501905892932342131
build,nearly_sorted,ordinary_bst,500,3,524330321,500,147208,294.416000,480,32024,4501905892932342131
build,nearly_sorted,sorted_vector,500,3,524330321,500,11417,22.834000,,32012,4501905892932342131
build,nearly_sorted,red_black_tree,500,4,524330577,500,15209,30.418000,15,36104,4501905892932342131
build,nearly_sorted,ordinary_bst,500,4,524330577,500,145750,291.500000,478,32024,4501905892932342131
build,nearly_sorted,sorted_vector,500,4,524330577,500,11500,23.000000,,32012,4501905892932342131
build,nearly_sorted,sorted_vector,500,5,524330833,500,11458,22.916000,,32012,4501905892932342131
build,nearly_sorted,red_black_tree,500,5,524330833,500,15083,30.166000,15,36104,4501905892932342131
build,nearly_sorted,ordinary_bst,500,5,524330833,500,144875,289.750000,476,32024,4501905892932342131
build,nearly_sorted,ordinary_bst,500,6,524331089,500,144500,289.000000,475,32024,4501905892932342131
build,nearly_sorted,sorted_vector,500,6,524331089,500,11833,23.666000,,32012,4501905892932342131
build,nearly_sorted,red_black_tree,500,6,524331089,500,15333,30.666000,15,36104,4501905892932342131
lookup,nearly_sorted,ordinary_bst,500,0,524329518,500,131583,263.166000,475,32024,5800426387965860860
lookup,nearly_sorted,red_black_tree,500,0,524329518,500,20459,40.918000,15,36104,5800426387965860860
lookup,nearly_sorted,sorted_vector,500,0,524329518,500,18334,36.668000,,32012,5800426387965860860
lookup,nearly_sorted,sorted_vector,500,1,524329774,500,18000,36.000000,,32012,2839554687910680178
lookup,nearly_sorted,ordinary_bst,500,1,524329774,500,131000,262.000000,475,32024,2839554687910680178
lookup,nearly_sorted,red_black_tree,500,1,524329774,500,20041,40.082000,15,36104,2839554687910680178
lookup,nearly_sorted,red_black_tree,500,2,524330030,500,19917,39.834000,15,36104,6969932122670816341
lookup,nearly_sorted,sorted_vector,500,2,524330030,500,18125,36.250000,,32012,6969932122670816341
